YEARMADERANGE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,COOLTYPE,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELCOOL,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
3,1,1,0,0,1,1,3,1,1,1,1,0,1,1,3,12,0,0,0,0,2,1,2,4,8,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,1,0,30.5,0,4,2,0,0,1,1,1,1,0,1,3,1,63,1,8750,1,701,701,234,5483,0.58
4,1,1,0,0,1,0,4,0,0,3,1,0,1,22,2,22,0,3,0,0,2,3,3,4,4,0,0,0,0,0,0,0,0,2,2,0,0,1,2,2,0,1,3,0,0,2.5,1,2,4,1,0,1,1,0,1,1,1,2,1,53,0,27500,0,514,514,514,4253,0.43
6,5,3,1,1,0,3,3,1,0,5,1,1,2,21,5,17,1,5,13,3,4,2,1,4,4,3,5,2,1,1,1,1,0,2,14,0,0,1,14,2,0,2,2,0,0,126,0,30,3,1,0,1,1,0,1,1,1,3,4,34.75,0,72500,0,6333,5683,5683,28958,0.55
2,2,1,0,1,1,3,1,0,0,5,1,1,1,21,3,2,1,0,3,2,2,2,1,4,4,0,0,0,0,0,1,0,1,6,5,0,1,2,0,0,0,2,3,0,0,8,0,18,4,1,0,1,1,1,1,0,1,0,2,66.5,1,12500,1,2003,1603,321,10040,0.74
7,2,2,0,0,1,16,3,0,0,5,1,1,1,22,4,7,0,3,7,3,2,3,2,4,4,2,10,1,0,1,0,0,1,2,3,1,1,1,3,2,1,2,2,0,0,18.5,0,7,4,0,0,1,1,1,1,0,4,5,3,25.33333333,0,130000,0,1113,1113,1113,13573,0.36
2,1,1,0,0,0,6,2,0,0,5,0,0,1,22,4,7,0,1,0,0,2,3,2,4,4,1,2,0,0,1,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,13,0,18,4,1,0,0,1,0,0,1,1,5,1,50,0,97500,0,950,950,633,4420,0.57
3,2,1,0,0,0,6,3,1,0,10,0,1,1,22,4,7,0,0,3,3,3,1,1,1,1,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,7,3,1,0,0,0,0,0,0,1,1,2,37,0,8750,1,1246,1246,0,4491,0.59
5,2,1,1,0,1,6,3,0,1,10,1,1,1,22,3,3,0,0,0,0,3,2,1,12,4,1,10,0,0,1,0,0,1,0,4,0,1,1,4,1,1,0,0,1,0,49,1,12,2,0,0,1,1,1,1,0,1,1,8,20.875,0,32500,1,1003,1003,1003,6697,0.58
6,5,3,1,1,0,6,3,0,0,10,0,1,2,5,5,3,1,5,13,2,4,3,2,2,2,2,5,2,0,1,0,0,1,2,10,0,0,1,10,2,1,7,3,0,0,10,0,22,3,1,0,0,1,0,1,1,1,5,4,31.75,0,110000,0,6908,4484,4484,19200,0.48
6,4,3,0,1,1,6,3,0,1,18,1,1,5,23,4,3,0,8,7,3,3,3,5,4,4,2,10,2,0,1,0,0,1,2,6,1,1,1,6,3,1,1,3,0,0,70,1,12,2,0,0,1,1,1,1,0,1,4,4,20,0,130000,0,3020,2370,2370,37411,0.42
3,1,1,0,0,0,0,2,0,0,10,0,0,1,22,3,3,0,0,0,0,2,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,1,5,37,0,8750,1,719,0,0,3191,0.37
7,3,3,1,1,1,6,2,1,1,5,1,0,3,23,5,3,1,8,13,3,4,1,1,4,2,1,2,0,0,1,0,0,0,0,6,0,0,1,5,3,1,6,3,0,0,63,1,18,3,1,0,1,1,0,1,0,1,2,2,64.5,1,130000,0,4934,2386,1988,12847,0.62
5,2,1,1,0,1,6,3,0,1,5,1,0,1,22,3,3,0,1,1,3,1,2,2,2,2,1,1,0,0,1,0,0,0,2,4,0,1,1,4,3,0,1,1,1,0,2.5,1,4,4,0,0,1,1,1,1,1,1,3,1,37,0,47500,0,1232,1232,1232,10903,0.45
6,4,3,1,1,0,1,2,1,0,10,0,1,2,21,4,2,0,5,7,3,6,2,2,8,2,4,10,2,5,1,0,0,1,6,9,0,0,1,9,3,0,7,2,1,0,8,0,30,3,1,0,0,1,0,0,2,1,3,4,34,0,130000,0,4104,3704,3704,23576,0.41
4,4,3,0,1,1,1,4,0,1,7,1,1,3,21,4,7,0,0,7,2,1,2,1,2,1,3,1,1,1,1,1,0,1,0,7,0,1,1,4,1,0,1,3,0,0,10,0,18,4,0,0,1,1,1,1,0,1,4,2,51.5,0,97500,0,3127,2727,1558,9954,0.41
6,1,1,0,0,1,6,2,0,0,7,1,1,1,1,3,12,0,0,3,0,1,2,1,4,4,1,8,0,0,1,0,0,1,2,3,1,1,1,3,2,0,0,0,0,0,10.5,0,7,3,0,0,1,1,1,1,2,1,3,1,64,0,12500,1,644,644,644,10206,0.57
4,2,1,1,0,0,6,1,1,1,7,0,0,1,22,4,3,0,5,7,2,1,3,2,2,2,1,1,0,0,1,0,0,1,2,5,1,0,1,5,3,0,2,3,1,0,5,1,7,2,1,0,1,1,0,0,1,1,3,4,18.5,0,62500,0,1296,1080,1080,10204,0.55
5,3,2,1,1,1,9,3,1,0,7,1,1,2,22,4,22,1,3,3,3,2,3,1,4,8,0,0,0,0,0,0,0,0,2,5,0,0,1,5,1,0,3,2,0,0,42.5,0,12,4,1,0,1,1,0,1,0,1,2,1,85,1,37500,0,1439,1439,1039,9928,0.69
4,3,2,0,1,0,6,3,0,1,10,0,1,2,21,4,17,0,3,7,3,3,2,1,4,8,3,10,2,1,1,0,0,0,2,5,0,0,1,5,3,0,5,3,1,0,10.5,1,7,4,1,0,0,1,0,1,0,1,5,2,40.5,0,32500,0,2030,1164,1164,23540,0.54
3,3,2,0,1,1,6,4,0,1,10,1,1,1,23,4,7,0,1,3,3,4,2,1,2,8,1,1,0,0,1,0,0,1,2,5,0,0,1,5,2,0,4,2,1,0,34,1,7,3,1,0,1,1,0,1,1,1,3,2,62,0,92500,0,1898,1498,1498,13056,0.42
8,2,2,0,0,1,16,3,1,0,10,1,1,1,1,2,7,0,5,3,2,0,0,0,0,0,2,5,1,0,1,0,0,1,0,5,0,1,1,5,2,0,3,1,0,0,0,0,22,4,0,0,1,1,1,1,2,1,5,2,48,0,27500,0,1176,1176,1176,10746,0.62
6,3,2,0,0,1,6,4,0,0,5,1,1,1,22,4,17,0,1,1,3,3,2,2,8,12,1,1,0,0,1,0,0,1,2,5,0,0,1,5,3,1,5,3,0,0,0,0,7,3,1,0,1,1,0,1,1,2,2,2,41.5,0,72500,0,1150,1150,1150,6547,0.4
6,3,2,1,1,1,6,3,1,0,7,1,1,2,21,4,12,1,3,7,2,4,2,1,2,4,1,2,0,0,1,0,0,1,0,6,0,0,1,6,3,0,2,2,0,0,10,1,12,3,1,0,0,1,0,1,1,1,5,3,34.66666667,0,130000,0,4890,4187,4187,12603,0.7
5,2,2,0,0,1,6,3,1,0,5,1,1,1,22,3,2,0,0,3,2,2,3,2,8,8,1,5,0,0,1,0,0,1,2,4,1,1,1,4,3,0,1,2,0,0,31,0,4,3,0,0,1,1,1,1,0,1,4,1,65,1,32500,0,1062,1062,1062,10938,0.42
1,2,1,1,1,0,3,3,1,1,5,0,1,2,23,4,2,0,0,3,3,3,1,1,2,2,1,1,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,10,0,18,3,1,0,1,0,0,0,1,1,3,1,63,0,110000,0,3141,1571,0,2600,0.53
1,2,1,0,0,1,3,1,0,1,7,1,0,1,1,3,22,1,0,1,0,1,2,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,3,0,0,2.5,0,4,2,1,0,0,1,0,1,0,1,3,1,85,1,12500,1,988,988,163,2796,0.62
1,3,1,0,0,1,6,2,0,0,5,1,1,1,23,4,7,0,8,1,2,3,2,1,4,4,1,2,0,0,1,0,0,1,2,3,0,0,0,0,0,0,1,1,1,0,26.5,0,12,3,1,0,1,0,0,1,0,1,4,1,59,1,32500,0,4569,1011,0,3325,0.54
1,2,1,0,0,0,9,2,1,0,7,0,1,1,22,3,7,0,2,0,0,1,2,1,2,4,3,10,10,8,1,0,0,1,2,4,0,0,1,4,1,0,1,3,0,0,54,0,7,3,1,0,0,1,0,0,1,1,5,2,26,0,57500,0,1043,1043,1043,3112,0.56
2,2,1,0,0,1,28,4,1,0,3,1,1,1,22,3,3,0,1,3,3,3,2,1,12,8,1,5,0,0,0,0,1,1,2,4,0,0,1,4,2,0,2,1,0,0,45,0,7,2,1,0,1,1,0,1,2,2,2,1,45,0,2000,1,905,905,905,7900,0.55
4,2,1,0,0,1,9,4,0,0,10,1,1,1,22,4,7,0,0,0,0,2,2,1,4,4,0,0,0,0,0,0,0,0,2,4,1,1,2,0,0,0,0,0,1,0,21,0,7,4,0,0,0,1,1,1,0,1,2,2,78.5,1,8750,1,766,766,191,2500,0.72
6,4,2,0,1,0,6,3,1,0,10,0,1,2,1,4,12,1,2,13,2,5,3,4,8,8,1,2,0,0,1,0,0,1,2,7,0,0,1,7,2,0,7,3,1,0,34,0,12,2,1,0,0,1,0,0,2,1,3,6,29.33333333,0,32500,1,2119,1719,1719,15219,0.45
8,3,3,0,1,1,6,3,1,1,10,1,1,2,21,5,7,0,8,7,3,3,3,2,12,12,3,10,2,1,1,0,0,1,10,8,0,1,1,8,3,0,2,3,1,0,21,0,30,4,0,0,1,1,1,1,0,1,3,6,17.5,0,47500,0,5760,4824,4824,34807,0.41
6,2,2,0,0,0,9,4,1,0,7,0,1,1,22,3,12,0,3,3,3,2,2,2,4,8,1,1,0,0,1,0,0,1,2,6,1,1,1,6,1,0,3,1,0,0,31.5,0,7,3,0,0,0,1,1,0,1,1,3,2,63,0,47500,0,1216,1216,1216,9804,0.66
7,1,1,0,0,1,3,2,0,1,1,1,0,1,22,4,3,0,1,3,3,1,3,2,4,4,0,0,0,0,0,0,0,0,2,3,0,1,2,0,0,0,0,0,0,0,5,1,4,3,0,0,1,1,1,1,1,1,5,1,24,0,47500,0,720,720,240,4523,0.69
1,4,2,0,0,1,9,4,1,0,7,1,1,2,22,3,3,0,3,7,3,2,2,3,8,12,2,5,5,0,1,0,0,0,2,10,0,0,2,0,0,0,1,1,1,0,5,0,22,4,1,0,0,1,0,1,1,1,6,3,33.66666667,0,110000,0,3218,3218,644,7299,0.5
5,2,1,0,0,1,1,0,0,1,7,1,0,1,21,3,3,0,0,3,3,0,0,0,0,0,1,2,0,0,1,0,0,0,2,6,0,1,1,6,2,0,4,2,1,0,19.5,0,12,4,0,0,1,1,1,1,2,1,6,1,64,1,52500,0,1144,1144,1144,3812,0.39
7,3,2,0,1,0,3,2,1,1,18,0,1,1,23,4,7,0,0,3,3,3,3,5,4,2,2,8,1,0,1,1,0,0,2,6,0,0,1,6,1,0,0,0,0,1,16,1,12,4,1,0,0,1,0,0,1,6,1,5,26,0,27500,1,1891,1491,1491,5409,0.59
1,3,1,1,1,0,6,4,0,1,7,0,0,2,21,4,7,0,5,13,3,3,2,1,4,8,2,2,5,0,1,0,0,1,6,7,0,0,2,0,0,0,0,0,0,0,109,0,18,3,1,0,0,1,0,0,1,2,3,5,27.8,0,17500,1,2351,1945,422,4177,0.56
1,2,1,0,0,0,6,3,1,1,1,0,1,2,22,4,7,0,0,13,3,4,3,3,12,12,2,10,2,0,1,0,0,0,2,5,0,0,1,5,3,0,2,3,0,0,109.5,0,18,2,1,0,0,1,0,0,0,1,3,7,24.71428571,0,52500,0,1258,1258,1258,24091,0.55
8,2,2,1,0,0,6,2,1,0,7,0,1,2,21,4,7,1,1,7,3,4,3,2,2,2,1,2,0,0,1,1,0,1,6,5,0,0,1,5,3,0,2,2,1,0,24,1,12,4,0,0,1,1,0,0,1,1,5,2,46.5,0,130000,0,3038,3038,3038,18080,0.35
3,1,1,0,0,0,6,2,1,1,10,0,0,1,1,2,2,0,0,0,0,2,1,1,2,1,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,1,0,0,0,7,3,1,0,0,0,0,0,0,1,1,2,13.5,0,3750,1,1147,1147,0,3235,0.61
1,2,1,0,0,0,9,0,0,1,5,0,0,1,1,4,12,1,0,3,3,1,2,3,4,4,1,2,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,12,3,1,0,1,0,1,0,2,1,4,1,24,0,32500,0,1800,1200,0,3033,0.52
6,4,2,1,1,0,9,2,0,0,7,0,1,2,21,5,3,1,1,13,3,3,3,1,4,4,4,2,2,1,1,0,0,1,2,9,0,0,1,9,3,1,2,1,0,0,10,1,18,2,1,0,1,1,0,0,1,2,6,4,21.25,0,130000,0,3954,2474,2474,12130,0.48
2,2,1,1,0,0,3,2,0,0,5,0,1,1,22,2,7,0,0,3,3,3,3,2,8,4,1,8,0,0,1,0,0,0,2,4,0,1,1,4,3,0,0,0,1,0,21,0,7,3,1,0,0,1,1,0,0,1,3,2,41.5,1,42500,0,1664,1664,832,8819,0.56
4,3,2,1,1,1,6,2,1,1,7,1,1,1,22,4,2,0,3,7,3,4,3,3,12,8,3,8,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7.5,1,12,2,1,0,1,0,0,1,0,2,5,2,27,0,2000,1,2599,2199,0,5546,0.55
1,3,1,1,0,1,6,2,0,0,7,1,1,1,21,4,12,1,0,7,2,3,3,3,4,8,2,2,2,0,1,0,0,0,2,7,0,0,1,7,2,0,1,1,0,0,7.5,0,18,3,0,0,0,1,0,1,1,1,3,4,32.75,0,110000,0,2400,1500,1500,13835,0.44
4,3,2,0,1,0,6,4,0,0,5,0,0,1,21,4,3,0,0,7,3,5,3,2,4,12,2,8,5,0,1,0,0,1,2,6,0,0,1,6,2,1,1,1,0,0,21,1,12,3,1,0,1,1,0,0,0,1,3,5,28.6,0,52500,0,2826,2576,1492,9745,0.61
1,2,1,0,0,0,1,1,0,0,7,0,0,1,22,3,7,0,0,0,0,3,1,1,2,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,3,0,0,26.5,0,7,3,1,0,0,1,0,0,1,1,0,6,19.5,0,37500,1,811,811,203,6793,0.49
4,2,1,0,1,0,6,1,0,0,18,0,1,1,22,4,3,0,0,0,0,1,1,1,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,20,0,7,4,1,0,0,0,0,0,0,1,1,5,27.2,0,32500,1,1276,0,0,4038,0.39
5,2,2,0,0,0,9,2,0,0,10,0,0,1,22,3,7,0,2,0,0,2,1,1,2,4,3,5,1,1,1,0,0,1,2,5,0,0,0,0,0,0,0,0,1,0,37.5,1,2,4,1,0,0,0,0,0,1,1,6,2,44,0,82500,0,949,949,0,3117,0.39
3,4,3,1,1,1,3,4,0,0,5,1,1,2,21,3,2,0,3,7,2,4,2,1,2,2,1,1,0,0,1,0,0,0,6,9,1,0,2,0,0,0,0,0,1,0,10.5,1,12,3,1,0,0,1,0,1,1,1,3,3,31.33333333,0,97500,0,3250,3250,207,6870,0.55
6,3,2,0,0,0,9,3,1,1,7,0,0,1,22,4,12,1,1,3,3,3,2,1,2,4,1,1,0,0,1,1,1,0,6,6,1,0,1,6,1,1,4,3,0,0,18.5,1,12,3,1,0,0,1,0,0,1,1,5,3,19.66666667,0,57500,0,1740,1740,1740,8149,0.59
7,3,2,0,1,1,6,1,0,0,0,0,1,1,21,3,7,1,3,7,3,1,3,2,12,12,0,0,0,0,0,0,0,0,0,4,0,1,1,4,3,0,3,1,0,0,10.5,1,7,4,1,0,0,1,1,0,0,1,1,2,79.5,1,12500,1,3752,1087,1087,8663,0.44
7,2,2,1,1,1,9,3,1,0,7,1,1,1,22,3,7,0,0,3,3,1,1,1,4,4,1,5,0,0,1,0,0,0,2,5,0,1,1,5,3,1,3,3,0,0,5,1,7,3,0,0,1,1,1,1,0,1,5,2,68,1,37500,0,1855,1455,1455,8343,0.39
5,2,2,0,0,1,1,2,1,1,5,1,0,1,22,3,12,0,0,0,0,2,2,1,12,4,1,8,0,0,1,0,0,1,0,0,0,1,1,4,3,0,0,0,0,0,10.5,0,7,3,0,0,0,1,1,1,1,1,2,4,30.5,0,27500,1,864,0,864,12225,0.37
5,1,1,0,0,1,6,3,0,0,5,1,0,1,22,3,7,0,3,3,3,2,2,1,4,8,2,5,10,0,1,0,0,0,2,3,0,1,1,3,1,0,2,1,0,0,18.5,0,7,3,0,0,1,1,1,1,2,1,4,2,28.5,0,27500,0,1046,1046,1046,12367,0.52
8,2,2,0,0,1,16,2,1,0,10,1,0,1,22,4,3,0,1,7,3,2,3,2,4,8,1,1,0,0,1,0,0,1,0,5,0,1,1,5,3,0,0,0,0,0,22.5,0,4,4,0,0,1,1,1,1,1,1,2,2,12,0,42500,0,864,864,864,7333,0.52
3,3,2,0,0,1,28,3,0,0,18,1,0,1,22,3,17,0,0,16,3,1,3,3,8,12,1,8,0,0,1,0,0,0,6,11,0,1,1,11,1,1,1,3,0,1,12.5,0,18,3,0,0,0,1,1,1,0,1,3,6,31.83333333,0,82500,0,2592,2592,2592,18927,0.52
4,3,3,0,1,0,9,2,0,0,10,1,1,2,21,4,22,1,3,3,2,4,3,4,4,4,1,2,0,0,1,0,1,1,6,8,0,0,1,8,3,1,7,3,1,0,75,0,22,3,1,0,1,1,0,1,0,1,5,2,64,1,72500,0,4350,3950,3950,15715,0.39
4,4,3,1,1,0,9,1,0,1,7,1,1,1,23,5,3,1,0,13,3,1,3,2,1,2,3,10,2,1,1,0,0,0,2,7,0,0,1,7,3,1,1,2,1,1,63.5,1,22,4,1,0,1,1,0,1,1,1,6,2,53.5,1,77500,0,3000,2600,2600,22085,0.41
6,3,2,0,1,0,16,3,1,1,10,0,0,1,21,4,2,0,1,3,3,3,2,2,4,8,2,5,2,0,1,0,0,1,2,6,1,0,1,6,3,0,5,3,1,0,16,0,12,3,1,0,0,1,0,0,1,2,5,3,26,0,67500,0,2688,2288,2288,14848,0.45
4,3,2,0,1,1,1,4,1,0,18,1,1,2,21,5,12,0,2,3,2,4,3,4,2,1,2,2,2,0,1,1,0,1,2,7,1,1,2,0,0,0,1,1,1,0,0,1,22,4,0,0,1,1,1,1,0,1,6,2,57.5,0,130000,0,4116,1982,280,9792,0.49
8,3,3,0,1,0,6,3,1,0,7,0,1,1,21,3,7,1,5,3,3,3,3,3,4,4,2,10,10,0,1,0,0,1,2,6,0,0,1,6,3,1,0,0,0,1,397,1,12,4,1,0,1,1,0,0,1,1,2,2,42,0,130000,0,4770,4120,4120,29700,0.42
8,1,1,0,0,0,1,2,0,0,1,0,1,1,22,3,7,0,1,1,3,1,2,2,2,2,1,2,0,0,1,0,0,1,0,2,0,0,1,2,1,1,0,0,0,0,31.5,1,2,4,1,0,1,1,0,0,1,1,5,1,58,0,130000,0,776,776,776,2481,0.63
5,2,2,0,0,1,0,1,0,1,0,0,0,1,1,4,22,1,1,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,4,0,1,1,4,1,0,2,0,0,0,0,0,12,3,0,0,1,1,1,0,0,1,1,5,26.2,0,27500,1,670,670,670,22432,0.56
3,4,2,0,1,0,6,4,0,0,7,1,1,1,1,3,22,0,0,3,3,1,2,1,1,1,1,1,0,0,1,0,0,0,2,8,0,0,1,8,3,0,2,2,1,0,69,0,22,4,1,0,0,1,0,1,0,1,6,1,77,0,42500,0,3365,2965,2965,8829,0.5
6,3,2,0,1,0,16,2,0,0,10,0,1,2,22,3,12,0,5,7,3,3,2,1,2,4,1,2,0,0,1,0,0,0,0,5,0,0,1,5,3,0,0,0,0,0,33,0,12,4,1,0,0,1,0,0,1,1,4,9,15.55555556,0,82500,0,1448,1198,1198,14829,0.62
5,3,1,1,0,1,1,3,1,1,1,1,0,1,1,3,3,0,5,7,3,3,2,2,12,12,1,2,0,0,1,0,0,0,2,5,0,1,1,5,1,1,3,2,0,0,0,1,7,4,0,0,1,1,1,1,2,2,2,3,43,1,47500,0,2177,2177,2177,11494,0.4
5,3,2,0,1,1,1,4,0,1,5,1,1,2,1,4,7,1,1,7,2,2,2,1,4,12,2,10,1,0,1,0,0,1,2,6,0,1,1,6,3,0,5,2,0,0,2.5,1,12,2,0,0,1,1,1,1,1,1,3,4,23,0,27500,1,2100,1700,1700,16778,0.31
5,2,1,0,0,0,3,1,0,0,18,0,0,1,22,3,12,0,0,0,0,1,1,1,8,12,0,0,0,0,0,0,1,1,6,5,0,1,0,0,0,0,1,1,1,0,16,0,7,4,1,0,1,0,1,0,1,1,3,2,45,0,37500,0,1040,1040,0,11538,0.54
5,2,1,1,0,0,6,4,1,1,5,0,1,1,22,3,2,1,3,7,3,3,2,1,2,2,1,1,0,0,1,0,0,0,2,5,0,1,1,5,1,1,4,2,0,0,2.5,1,4,3,1,0,0,1,1,0,2,1,2,1,69,1,47500,0,2013,1342,1342,4986,0.58
6,3,2,0,1,1,1,4,1,0,7,1,0,1,22,3,7,1,5,16,3,2,2,1,1,2,1,8,0,0,1,0,0,0,0,5,1,0,1,5,3,1,3,2,1,0,30.5,1,18,3,1,0,0,1,0,1,1,1,3,5,17.2,0,52500,0,1654,1254,1254,6533,0.49
8,5,4,0,1,0,6,2,1,0,7,0,1,2,23,5,2,0,3,7,3,3,3,3,2,4,2,5,10,0,1,0,0,0,2,9,1,0,1,9,3,1,7,2,0,0,29,1,18,3,1,0,0,1,0,0,1,1,6,3,21.66666667,0,110000,0,5408,4758,4758,10263,0.6
1,2,1,0,0,0,6,2,0,0,7,1,0,1,21,5,2,0,2,3,3,3,2,1,4,8,1,2,0,0,1,0,0,0,2,5,0,1,1,5,3,1,1,2,1,0,0,0,12,3,1,0,1,1,1,1,1,5,4,3,24.66666667,0,62500,0,1147,1147,1147,10631,0.38
2,3,1,1,1,0,16,2,1,0,10,0,0,2,22,4,7,1,3,7,3,2,2,1,2,2,2,8,1,0,1,0,0,0,0,8,1,0,1,8,2,1,0,0,1,0,31.5,0,22,4,1,0,1,1,0,0,1,4,6,5,34,0,77500,0,2160,1760,1760,6583,0.55
7,4,2,1,1,0,6,2,0,0,7,0,1,1,21,5,2,0,2,3,3,2,3,3,2,2,2,5,2,0,1,0,0,0,6,6,0,0,1,6,3,1,2,3,0,0,21,0,18,4,1,0,0,1,0,0,1,1,6,2,34,0,130000,0,3840,3440,3440,12493,0.43
4,3,1,1,1,0,16,1,1,1,7,0,1,1,21,3,2,0,3,7,3,2,2,2,4,4,3,2,2,1,1,0,0,1,0,5,0,0,2,0,0,0,5,3,1,0,21,1,12,4,1,0,0,1,0,0,0,1,5,4,36.25,0,92500,0,1664,1414,283,4697,0.52
3,3,2,0,0,1,6,3,0,0,5,1,1,1,21,5,17,1,0,3,3,5,3,3,4,4,2,2,2,0,1,0,0,0,0,0,0,0,1,7,3,1,1,0,0,0,2.5,0,12,2,1,0,0,1,0,1,1,1,3,4,44.5,1,47500,0,1976,0,1976,28559,0.41
4,1,1,0,0,0,9,2,0,1,7,0,0,1,22,3,7,0,8,0,0,2,2,1,8,8,1,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,29,1,2,3,1,0,0,0,0,0,0,1,2,5,15.8,0,57500,0,693,0,0,2662,0.34
5,1,1,0,0,1,9,2,0,0,7,1,1,1,22,3,7,0,2,1,3,2,3,2,8,4,1,1,0,0,1,0,0,0,0,3,0,1,1,3,3,0,0,0,0,0,10.5,0,4,3,0,0,1,1,1,1,1,1,3,1,28,0,22500,0,732,732,732,8810,0.54
5,4,3,1,1,1,6,3,1,0,7,1,0,2,21,4,7,0,3,3,3,6,2,2,12,12,4,10,2,2,1,0,0,0,0,8,0,0,1,8,2,0,3,2,0,0,26,0,30,3,1,0,0,1,0,1,1,1,6,2,39.5,0,92500,0,6000,3538,3538,15463,0.52
6,3,2,0,1,1,3,4,0,0,7,1,1,2,21,4,3,0,8,7,3,3,1,1,4,4,1,1,0,0,1,0,0,0,2,6,1,0,1,6,3,0,4,3,1,0,30,0,12,2,1,0,0,1,0,1,2,1,5,4,32.5,0,77500,0,3799,3399,3399,11850,0.57
1,4,2,0,1,1,6,2,0,0,5,1,0,1,21,5,3,0,2,7,3,2,3,2,2,2,3,10,2,1,1,1,0,0,6,8,0,1,2,0,0,0,0,0,1,0,42,0,12,4,0,0,0,1,1,1,1,1,7,4,30.25,0,130000,0,3332,3082,809,13667,0.51
7,3,2,0,1,1,1,1,0,0,7,1,1,1,21,4,7,0,3,3,2,2,2,1,2,2,1,2,0,0,1,1,0,1,0,7,0,1,1,7,1,1,6,3,0,0,7.5,1,12,3,0,0,1,1,1,1,1,1,4,1,42,0,72500,0,2232,1832,1832,6411,0.34
2,1,1,0,0,0,28,4,0,1,5,0,0,1,1,3,7,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,1,0,0,2.5,0,4,4,1,0,1,0,0,0,1,1,4,1,30,0,62500,0,443,295,0,1306,0.59
6,3,3,0,1,1,1,1,0,0,7,1,1,1,23,4,2,1,8,7,3,1,2,1,4,4,1,1,0,0,1,1,0,0,0,7,0,1,1,7,3,1,3,2,1,0,7.5,1,12,4,0,0,1,1,1,1,0,1,2,3,55.66666667,1,52500,0,3168,2768,2768,36118,0.38
5,3,2,0,0,1,6,2,0,0,7,1,1,1,21,3,3,0,8,13,3,3,3,2,4,4,4,2,2,1,1,0,0,0,2,6,0,1,1,6,1,1,1,2,1,0,5,1,7,4,0,0,1,1,1,1,0,1,3,3,51,1,47500,0,792,792,792,12468,0.37
3,5,2,0,0,0,1,2,0,0,1,0,0,1,22,4,7,0,0,0,0,3,2,1,2,4,3,10,2,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,10,0,18,2,1,0,1,1,0,0,1,1,3,3,20.66666667,0,27500,0,2112,1056,528,9555,0.52
7,4,3,0,1,1,6,3,0,0,7,1,1,1,21,4,7,1,8,13,2,6,3,4,2,4,4,10,5,1,1,1,1,1,2,9,0,1,1,9,3,0,8,3,0,0,82,0,22,4,0,0,1,1,1,1,1,1,3,5,23.2,0,62500,0,4182,3782,3782,41143,0.4
5,3,2,0,0,0,6,4,1,0,10,1,1,1,21,5,7,0,0,3,3,4,2,2,2,2,2,5,2,0,1,1,0,1,6,9,0,1,1,9,2,0,2,2,1,0,2.5,0,18,3,0,0,0,1,1,1,0,1,2,2,83,1,32500,0,1840,1840,1840,12884,0.45
7,3,2,0,0,1,9,3,0,0,10,1,1,1,21,4,2,1,3,7,3,2,3,1,2,4,3,5,2,2,1,0,0,0,0,5,0,1,1,5,3,0,3,3,1,0,7.5,0,12,4,0,0,1,1,1,1,2,1,2,4,31.75,0,32500,1,1488,1488,1488,31973,0.47
4,4,2,0,0,1,9,3,1,0,10,1,1,1,23,5,3,0,5,7,3,1,3,2,2,4,2,2,1,0,1,0,0,1,10,7,1,0,1,7,3,1,4,0,0,0,20.5,1,7,2,1,0,1,1,0,1,1,1,3,3,22.33333333,0,77500,0,1955,1955,1955,10865,0.63
